id,prompt,A,B,C,D,E,answer
805,What was the main product produced by the Karbid Wielkopolski factory?,Calcium acetylide,Carbide,Hydroelectric power,Narrow-gauge railway,Turbine hall,B
806,What is the aim of the University Rover Challenge?,To encourage students to develop skills in robotics,To improve the state-of-the-art in rovers,To work in multi-disciplinary teams with collaboration between scientists and engineers,All of the above,None of the above,D
807,What was the core product of Technorati before it stopped indexing blogs?,An advertising platform,An internet search engine for blogs,A publishing platform,An authority scoring system,A website for online publishing and advertising,B
808,What is the purpose of the T-failure criterion?,To predict both brittle and ductile failure,To determine when a material has failed,To calculate the strain energy density stored in the material,To replace the von Mises yield criterion,To describe material behavior up to failure,A
809,"In which year was the paper ""Cneoridium dumosum (Nuttall) Hooker F. Collected March 26, 1960, at an Elevation of about 1450 Meters on Cerro Quemazón, 15 Miles South of Bahía de Los Angeles, Baja California, México, Apparently for a Southeastward Range Extension of Some 140 Miles"" published?",1960,1962,1982,2013,2003,B
810,What is the name of the mathematician after whom Scott-continuous functions are named?,Dana Scott,John Scott,Robert Scott,David Scott,Michael Scott,A
811,When did the construction of the Hunedoara steel works begin?,1882,1890,1863,1884,1903,A
812,What is the pilot wave theory also known as?,Hidden-variable theory,Bohmian mechanics,Wave–particle duality,Instantaneous wave function collapse,Schrödinger's cat,B
813,Who presented the pilot wave theory in 1927?,Max Born,Louis de Broglie,Erwin Schrödinger,Albert Einstein,Niels Bohr,B
814,What does the de Broglie–Bohm pilot wave theory interpret quantum mechanics as?,Deterministic theory,Hidden-variable theory,Wave–particle duality,Instantaneous wave function collapse,Schrödinger's cat,A
815,What did Max Born suggest about the wave function of Schrödinger?,It represents the probability density of finding a particle.,It describes waves in configuration space.,It is a hidden variable.,It collapses instantaneously.,It is related to Schrödinger's cat.,A
816,When were Louis de Broglie’s early results on the pilot wave theory presented?,1927,1924,1926,1990s,It is not mentioned in the text.,B
817,What is gravitational shielding?,A hypothetical process of shielding an object from the influence of a gravitational field,A process of reducing the weight of an object,A method of creating a shadow from a gravitational shield,A violation of the equivalence principle,A concept in science fiction literature for space travel,A
818,What is a behavior-shaping constraint also known as?,Reverse lockout,Forcing function,Error-tolerant design,Poka-yoke,Microwave oven,B
819,What is the opposite of horizontal market software?,Vertical market software,Enterprise resource planning,Product software implementation method,Word processors,Project management applications,A
820,What is the term used to describe the relative degree of changes to the previous system in the result of the solution of an inventive problem?,Degree of inventiveness,Level of solution,Rank of invention,Level of invention,Level of solution,D
821,How many levels of inventiveness did Altshuller separate the patents into?,3,4,5,6,7,C
822,Which level of inventiveness involves routine design problems solved by methods well known within the specialty?,Level 1,Level 2,Level 3,Level 4,Level 5,A
823,Which level of inventiveness entails a new principle for performing the system's primary functions?,Level 1,Level 2,Level 3,Level 4,Level 5,D
824,"What is used to measure the level of invention and the potential for innovation in any nation, geographical area, or economic activity?",Degree of inventiveness,Innovative capacity,Rank of invention,Level of solution,Level of invention,B
825,What is particle agglomeration?,The formation of assemblages in a suspension that leads to the destabilization of colloidal systems.,The process of particles sticking together and forming irregular particle assemblages.,The addition of salts or other chemicals to induce particle agglomeration.,The reversible or irreversible process of particle agglomeration.,The growth of agglomerates in size and their settling to the bottom of a container.,B
826,What type of stability is discussed for solutions of differential equations or difference equations?,Lyapunov stability,Exponential stability,Structural stability,Asymptotic stability,Equilibrium stability,A
827,What is a dam failure?,A controlled release of impounded water,A deliberate breaching of a dam,A sudden and uncontrolled release of impounded water,A failure of a hydroelectric power generation system,An extreme inflow of water,C
828,Where was Sydney Brenner born?,Johannesburg,Cape Town,Durban,Germiston,Pretoria,D
829,What is the purpose of redundancy in engineering systems?,To increase system reliability and performance,To decrease system complexity and production demands,To reduce the probability of human error,To simplify system design and decrease costs,To improve system safety and efficiency,A
830,What is a cline in biology?,A measurable gradient in a single characteristic of a species across its geographical range,A collection of traits within a single population,A genetic mutation in a species,A sudden change in a species across different regions,A phenomenon observed only in birds,A
831,What was the main purpose of Naturhistorieselskabet?,To offer education in natural history,To employ foreign experts in little-established disciplines,To donate collections to the state,To form an autonomous University of Copenhagen,To ensure economic growth in Denmark,A
832,What is the purpose of a thesaurus in information retrieval?,To dictate semantic manifestations of metadata,To ensure uniformity and consistency in indexing,To guide both indexer and searcher in selecting preferred terms,To organize concepts with hierarchical relationships,To aid in the classification of documents,C
833,Who published the Oil Mines Regulations-1984?,Ministry of Petroleum,Directorate General of Mines Safety,Ministry of Labour,"Dhanbad, Jharkhand",Ministry of Mines,B
834,What is the purpose of the Broadly Applicable Tracking System (BATS)?,To track animal movements,To study social bonds in vampire bats,To collect fallen parts,To invent a lightweight backpack,To create social bonds with bats,A
835,What is the purpose of a counterweight in a mechanical system?,To provide balance and stability,To increase the load capacity,To reduce vibrations,To save energy,To prevent over-balancing,A
836,What are the requirements for establishing congruence or similarity in polygons?,Equality of corresponding sides only,Equality of corresponding angles only,Equality of corresponding sides and angles,Proportionality of corresponding sides only,Proportionality of corresponding angles only,C
837,What is the significance of finding a counterexample to the Riemann hypothesis?,It would disprove the Riemann hypothesis and have far-reaching consequences for all of mathematics.,It would prove the Riemann hypothesis and have far-reaching consequences for all of mathematics.,It would validate the Riemann hypothesis but have no significant consequences for mathematics.,It would have no impact on the Riemann hypothesis or mathematics in general.,"It would slightly modify the Riemann hypothesis, but not affect mathematics as a whole.",A
838,What is the name of the operation that describes multiplying a number by itself?,Squaring,Cubing,Exponentiating,Rooting,Doubling,A
839,Where is the Alpine Club Museum located?,"Innsbruck, Austria","Munich, Germany","Tyrol, Austria","Vienna, Austria","Salzburg, Austria",A
840,Who invented the multiple-effect evaporator?,Norbert Rillieux,Louisiana Creole,American engineer,Louisiana Creole engineer,Norbert Rillieux engineer,A
841,What is the climate of the Mediterranean Basin?,Tropical rainforest,Arctic,Desert,Mediterranean,Tundra,D
842,When was the Annual Review of Earth and Planetary Sciences first published?,1973,1990,2000,2010,2020,A
843,Who advocated for transformed cladistics in the 1980s?,Willi Hennig,Norman Platnick,Colin Patterson,Ronald Brady,David Williams,B
844,Who is the founder of Takeuchi Manufacturing?,Akio Takeuchi,Akio Honda,Akio Suzuki,Akio Toyota,Akio Nakamura,A
845,What is the role of the technology management function in an organization?,To understand the value of certain technology for the organization,"To develop science, technical, and business skills required for management",To optimize and control technological products and services,To identify and map relevant technologies to business needs,To argue when to invest on technology development and when to withdraw,A
846,What is the significance of signal-to-noise ratio (SNR) in science and engineering?,SNR determines the maximum possible amount of data that can be transmitted over a given channel,SNR measures the level of background noise in a system,SNR indicates the clarity and detectability of a signal,SNR compares the signal power to the noise power,SNR is used to calculate the bandwidth of a channel,C
847,What is the Bogota Declaration?,A declaration asserting sovereignty over portions of the geostationary orbit,A treaty banning claims of sovereignty in space,A treaty signed in 1976 by seven equatorial countries,A challenge to the 1967 Outer Space Treaty,A declaration claiming control of the geosynchronous orbital path,A
848,What is the primary benefit of 2G networks over 1G networks?,Digitally encrypted phone conversations,More efficient use of radio frequency spectrum,Data services for mobile,All of the above,None of the above,D
849,What is the purpose of a flame programmer?,To control the lighting and shutdown of fuel burning equipment,To regulate the temperature of industrial steam boilers,To exhaust residual air-fuel mixtures in combustion chambers,To detect and prevent flame failures in household furnaces,To operate combustion air fans in fuel burning processes,A
850,Who owned the Eleja manor house in the 19th century?,Georg von Tiesenhausen,Johann Friedrich von Tiesenhausen,Amalie von Behr,Count Johann Friedrich von Medem,Christoph Johann von Medem,D
851,What is the purpose of a hydrodynamic separator (HDS)?,To control water pollution in stormwater runoff,To generate electricity from flowing water,To increase water velocity in drainage basins,To treat wastewater in hydraulic engineering,To store and distribute water in civil engineering,A
852,What are the two sets that define an autoencoder?,X: space of decoded messages and Z: space of encoded messages,X: space of encoded messages and Z: space of decoded messages,X: space of labeled messages and Z: space of unlabeled messages,X: space of unlabeled messages and Z: space of labeled messages,X: space of messages with useful properties and Z: space of messages with random properties,A
853,What is the Norfolk four-course system?,A method of agriculture without a fallow year,A system of crop rotation involving four different crops,A grazing system for livestock breeding,A key development in the British Agricultural Revolution,A farming technique popularized by Charles Townshend,B
854,Which award recognizes the Best Animated Feature Film?,BAFTA Award for Best Animated Film,Golden Rooster Award for Best Animation,César Award for Best Animated Film,Annie Award for Best Animated Feature,Saturn Award for Best Animated Film,D
855,Who was the primary editor of The Journal of Recreational Mathematics for five years?,Harry L. Nelson,Joseph Madachy,Charles Ashbacher,Colin Singleton,Leo Moser,A
856,What is the main purpose of Edinburgh BioQuarter?,To provide healthcare services to the local community,To promote economic development in Scotland,To support medical research at the University of Edinburgh,To develop a shared vision for the future of Scotland,To establish a leading health innovation location,E
857,What is the Leverett J-function used for?,Describing capillary pressure in petroleum engineering,Modeling two-phase flow in fuel cells,Analyzing relative permeability data,Measuring water saturation in reservoirs,Determining surface tension in porous rocks,A
858,How many amphibian species have been registered in El Salvador?,25,29,32,35,40,B
859,What is the main function of the Whirlwind Mill in cellulose insulating material plants?,"To fray out the material and create fluffy, defibrated flocks",To separate the dusty air from the cellulose fibers,To add flame retardant to the raw material,To convey the material to the packaging unit,To reduce the raw material in the primary reduction unit,A
860,What is the purpose of a burn-in oven in electronics device fabrication?,To test the performance of integrated circuits and other electronic devices,To cool down electronic devices after fabrication,To measure the size of integrated circuits and other electronic devices,To clean electronic devices before fabrication,To repair faulty integrated circuits and other electronic devices,A
861,What are the typical sizes of burn-in ovens in electronics device fabrication?,Under ten to over 30 cubic feet,Over 100 cubic feet,Less than one cubic foot,Between 50 and 80 cubic feet,Around 20 cubic feet,A
862,What is the maximum operating temperature of burn-in ovens in electronics device fabrication?,260 °C (500 °F),200 °C (400 °F),320 °C (600 °F),150 °C (300 °F),180 °C (350 °F),A
863,What are some other types of batch ovens?,"Bench/laboratory, reach-in, walk in/truck in, and clean process","High-dissipation forward bias, high-temperature reverse bias",Microprocessors and other semiconductor devices,Low power laser diodes up to 1A and high power laser diodes up to 300A,Integrated circuits and other electronic devices,A
864,What type of devices are burn-in ovens specifically designed for?,"Integrated circuits and other electronic devices, including laser diodes",Microprocessors and other semiconductor devices,Low power laser diodes up to 1A,High power laser diodes up to 300A,All types of electronic devices,A
865,What is the main capability of self-reconfiguring robotic systems?,Ability to change their own shape,Ability to self-replicate,Ability to move quickly,Ability to perform complex tasks,Ability to sense and control their environment,A
866,What is Sid Meier's Starships?,A real-time strategy video game,A turn-based strategy video game,A first-person shooter video game,A role-playing video game,A puzzle video game,B
867,Which iris is the national flower of Jordan?,Iris nigricans,Iris vartanii,Iris atrofusca,Iris petrana,Iris aucheri,A
868,What is the main advantage of using Least-squares spectral analysis (LSSA) compared to Fourier analysis?,LSSA can estimate frequency spectrum accurately even with long-periodic noise in the data,LSSA requires data to be equally spaced unlike Fourier analysis,LSSA is based on the Lomb-Scargle periodogram,LSSA was developed in 1969 and 1971,LSSA is also known as the Vaníček method and the Gauss-Vaniček method,A
869,When was NOCSAE officially organized?,1967,1968,1970,1973,1966,B
870,What was the reason for banning Chrysoine resorcinol as a food additive in Europe?,It caused severe allergic reactions in humans,It was found to be carcinogenic,It had adverse effects on the liver,It was discovered to be a mutagen,It was found to be highly toxic to aquatic life,B
871,What is the absorption maximum of Chrysoine resorcinol in colorimetry?,343 nm,387 nm,412 nm,436 nm,489 nm,B
872,How is Acid orange 6 synthesized?,By combining Chrysoine resorcinol and sulfanilic acid,By coupling resorcinol and azo,By adding sulfanilic acid to azo,By treating resorcinol with sulfuric acid,By reacting Chrysoine resorcinol with hydrochloric acid,B
873,What is the primary method by which tool rental companies measure asset performance?,Physical utilization,Financial utilization,Spot utilization,Utilization calculations,Preventative maintenance activities,A
874,When was the Gibraltar Yacht Club established?,1829,1854,1901,1954,2001,A
875,What is the purpose of a technical peer review?,To improve team efficiency,To conduct defect correction,To evaluate management performance,To verify the verification process,To conduct milestone reviews,B
876,How do scientists constrain the interior composition of exoplanets?,By directly measuring the planet's mass and radius,By studying the exoplanetary atmospheric environments,By traveling to the exoplanets and taking measurements,By using the transit method and radial velocity method,By observing the reduction in light from the star during a transit,D
877,What is the luminosity of the zodiacal dust in the Solar System relative to the luminosity of the Sun?,10^-7,10^-6,10^-5,10^-4,10^-3,A
878,Who is the director of the film A Dog's Breakfast?,David Hewlett,Kate Hewlett,Paul McGillion,Christopher Judge,Rachel Luttrell,A
879,Who founded the celestial police?,Franz Xaver von Zach,William Herschel,Wilhelm Olbers,Giuseppe Piazzi,William Zach,A
880,What makes MRI different from CT and PET scans?,Use of strong magnetic fields,Use of X-rays,Use of ionizing radiation,Use of radio waves,Use of magnetic field gradients,C
881,Which type of object in geometry has its shape aligned with the coordinate axes of the space?,Axis-aligned rectangles,Rectilinear polygons,Axis-aligned ellipsoids,Minimum bounding boxes,Axis-aligned line segments,A
882,What is the purpose of Front-End Engineering (FEE) or Front-End Engineering Design (FEED)?,To control project expenses and plan a project before submitting a bid,To execute the conceptual design or feasibility study,"To finalize the engineering, procurement, and construction contracts",To communicate project-specific requirements to the engineering contractor,To identify the main costs for a proposed project,A
883,What is moldable wood?,A material made from cellulose,A type of flexible plastic,A synthetic material,A form of metal,A type of glass,A
884,What is the role of RNA in protein synthesis?,RNA acts as a template for protein production,RNA catalyzes biological reactions within cells,RNA controls gene expression,RNA senses and communicates responses to cellular signals,RNA encodes genetic information for viruses,A
885,Who created the character Crusher in Marvel Comics?,Stan Lee and Jack Kirby,Gene Colan and Tony Isabella,Tony Isabella and Bob Brown,Jack Kirby and Gene Colan,Bob Brown and Stan Lee,A
886,What is the purpose of a variable rate feeder (belt feeder)?,To deliver solid material at a known rate into a process,To control the speed of a conveyor belt,"To handle light, fine, abrasive, free flowing materials",To transport materials in low-headroom situations,To operate at a constant speed,A
887,Which scientific journal published by Iziko Museums took the place of the Annals of the South African Museum?,African Natural History,Official website,Annals of the South African Museum,Cape Town,Iziko Museums,A
888,"What is the name of the Japanese science fiction manga series that ""Gunnm: Mars Chronicle"" is a part of?",Battle Angel Alita: Mars Chronicle,Gunnm: Mars Chronicle,Battle Angel Alita: Last Order,Gun Dream: Martian War Chronicles,Gun Dream: Mars Chronicle,A
889,What is the purpose of designing the MPT rifle?,To meet the demands of the Turkish Armed Forces and replace aging rifles,To showcase robustness in extreme weather conditions,To provide high accuracy and reliability in battle environments,To compete in international events like Eurosatory and MSPO,To function in both hot and cold weather conditions,A
890,What is the goal of standard harmonization?,To find commonalities and provide a common framework for standards setting organizations to adopt,To eradicate any variation with the adoption of a single standard,To minimize redundant or conflicting standards,To reduce compliance costs and simplify the process of meeting requirements,To reduce complexity for those tasked with testing and auditing standards for compliance,A
891,What was the purpose of Luna E-8-5 No.405 mission?,To orbit the Moon and collect data,To land on the Moon and collect lunar soil,To study the atmosphere of the Moon,To photograph the Moon from space,To test a new rocket propulsion system,B
892,What are the main activities involved in naval architecture?,"Preliminary design, construction, and trials",Ship design calculations and maintenance,Formulation of safety regulations and damage-control rules,Approval and certification of ship designs,All of the above,E
893,What is the main objective of the Wildflower Society of Western Australia (Inc.)?,To raise public awareness about the value of conserving bushland,To promote the cultivation of Australian native plants in home gardens and public areas,To support the establishment and operation of Branches within the state of Western Australia,To encourage the conservation and preservation of Western Australian flora,To establish and maintain a public fund for conservation purposes,D
894,When was Dipper Dredge No. 3 built?,1929,1946,Wayne County,Lyons,New York State Barge Canal,A
895,Who acquired Invensys plc in January 2014?,Schneider Electric,BTR plc,Siebe plc,Wonderware,AVEVA,A
896,What is the purpose of a microarray?,To detect the expression of thousands of biological interactions,To analyze protein–protein interactions,To optimize protein–protein interactions,To perform high-throughput screening of gene sequences,To create a two-dimensional array on a solid substrate,A
897,What was the origin of samite fabric?,Persia,Italy,Byzantium,Constantinople,Venice,C
898,What are the processes involved in space weathering?,Collisions of galactic cosmic rays and solar cosmic rays,"Irradiation, implantation, and sputtering from solar wind particles",Bombardment by different sizes of meteorites and micrometeorites,All of the above,None of the above,D
899,What is the definition of indeterminate growth in biology and botany?,Growth that stops once a genetically pre-determined structure has completely formed,Growth that is not terminated and continues until killed by external factors,Growth that is slow and limited to a specific period of time,Growth that is controlled by the opening of early flowers and development of fruits,Growth that is determined by the presence of terminal flowers,B
900,What is personalized medicine also referred to as?,Personalized medicine,Precision medicine,Stratified medicine,P4 medicine,All of the above,E
901,"Who is the author of the computer science book ""How to Solve it by Computer""?",R. G. Dromey,George Pólya,Prentice-Hall,India,Pascal notation,A
902,In what year was the University of Jena established?,1554,1558,1581,1596,1597,B
903,"What was the controversy surrounding the episode ""Big Gay Al's Big Gay Boat Ride""?",The episode featured open homosexuality,The episode included offensive remarks made by sports commentators,The episode aired on Comedy Central,The episode was written by Trey Parker and Matt Stone,The episode addressed peer pressure,B
904,What is the purpose of NABERS?,To measure and compare the environmental performance of Australian buildings and tenancies.,To provide a rating system for commercial office buildings.,To promote the use of energy-efficient technologies in buildings.,To certify buildings that meet certain environmental standards.,To train and accredit assessors for building ratings.,A
905,What is the primary purpose of a machine shop?,To manufacture parts,To sell machinery,To provide engineering services,To design tools and equipment,To repair machinery,A
906,What is a knock-down kit?,A kit of unassembled parts of a product,A kit of partially assembled parts of a product,A kit of completely assembled parts of a product,A kit of parts for repairing a product,A kit of parts used for packaging a product,A
907,When was the Institute of Scientific and Technical Communicators (ISTC) created?,1948,1972,2006,2019,1985,B
908,What is the name of the chemical cycle involved in stellar nucleosynthesis in hydrogen-fusing stars like the Sun?,The carbon-nitrogen-oxygen cycle,The helium cycle,The biogeochemical cycle,The geochemical cycle,The chemical recycling cycle,A
909,What is the primary focus of manufacturing engineering?,Developing tools and equipment for manufacturing processes,Integrating facilities and systems for producing quality products,Transitioning the product to manufacture it in volumes,Applying the principles of physics in manufacturing systems,Using computer integrated technology for faster production,B
910,Which field guide is considered one of the earliest popular guides to plants in the United States?,"How to Know the Wildflowers by ""Mrs. William Starr Dana"" (Frances Theodora Parsons)",A Field Guide to Wildlife by John James Audubon,The Essential Guide to Natural Objects by Richard Feynman,The Comprehensive Guide to Flora and Fauna by Charles Darwin,The Definitive Handbook of Wildlife Identification by Jane Goodall,A
911,What is the purpose of Four Core Genotypes (FCG) mice in biomedical research?,To determine the effects of gonadal hormones on sex differences in phenotype,To investigate the role of sex chromosome genes in sex differences in phenotype,To compare the phenotypes of XX and XY mice with ovaries,To compare the phenotypes of XX and XY mice with testes,To study the impact of gonadal hormones on the development of mice with the same sex chromosomes,B
912,What is the significance of the A. W. Faber Model 366 slide rule?,It was the first slide rule to use discrete logarithms,It was the first slide rule to have a table of numbers,It was the first slide rule manufactured by A. W. Faber Company,It was the first slide rule to use Jacobi indices,It was the first slide rule to use p = 101 and g = 2 for generating indices,E
913,Which character in The Simpsons is the mother of Principal Skinner?,Edna Krabappel,Agnes Skinner,Apu Nahasapeemapetilon,Ned Flanders,Marge Simpson,B
914,What is the main difference between magnetic sequencing and next-generation sequencing?,"Magnetic sequencing relies on direct imaging of diffraction rings, while next-generation sequencing relies on PCR-based clonal amplification.","Magnetic sequencing uses a magnetic field to stretch DNA hairpins, while next-generation sequencing uses a glass surface.",Magnetic sequencing has a higher throughput of DNA sequencing compared to next-generation sequencing.,Magnetic sequencing is more cost-effective than next-generation sequencing.,"Magnetic sequencing does not require hybridization of complementary nucleotides, unlike next-generation sequencing.",A
915,What is the major component of prime editing technology that identifies the target nucleotide sequence to be edited?,Cas9 endonuclease,CRISPR/Cas9,pegRNA,PBS,RT template sequence,C
916,Which species of bark beetles spread Dutch elm disease in North America?,Hylurgopinus rufipes,Scolytus multistriatus,Scolytus schevyrewi,Both Hylurgopinus rufipes and Scolytus multistriatus,None of the above,D
917,What is the proposed mission of the Titan Lake In-situ Sampling Propelled Explorer (TALISE) probe?,To orbit around Saturn and study its rings,To land on Titan and explore its surface,To navigate the liquid hydrocarbons sea on Titan,To analyze the atmosphere of Saturn,To study the terrain of Saturn's rings,C
918,What is a synthetic microbial consortium?,A community of microbial species used for industrial purposes,A type of bacteria that cannot be cultured axenically,A population of bacteria that can produce biofuels,A group of bacteria species that have been cultured and identified,A community of bacteria found in nature,A
919,Who produced the John Deere Buck?,John Deere,Bombardier,Rotax,John Deere Tractor,John Deere (inventor),B
920,What is the main goal of the Carl Sagan Institute?,To study the origin of life on Earth,To explore the habitability of exoplanets and moons,To catalog different microorganism species,To study the atmospheric characterization of known planets,To collaborate with international institutions on astrophysics,B
921,What is packaging engineering?,"A field integrating science, engineering, technology and management to protect and identify products for distribution, storage, sale, and use.","The process of design, evaluation, and production of packages.","An interdisciplinary field encompassing industrial engineering, marketing, materials science, industrial design, and logistics.","A system integral to the value chain that impacts product quality, user satisfaction, distribution efficiencies, and safety.",An industry-specific aspect of packaging science.,A
922,Who was T.M. Varghese also known as Malankara Varghese?,A member of Malankara Orthodox Syrian Church,A timber merchant,A priest and manager of the Angamali diocese,A member of the rival Malankara Jacobite Syriac Orthodox Church,A member of the Syriac Orthodox Church,A
923,Where did the concept of Obeya originate from?,China,Japan,India,United States,Brazil,A
924,What are some key technologies in the smart manufacturing movement?,Industrial connectivity devices and services,Advanced robotics,Big data analytics,All of the above,None of the above,D
925,What is the main purpose of an electrophoretic mobility shift assay (EMSA)?,To determine the size and charge of proteins and nucleic acids,To study protein-DNA or protein-RNA interactions,To identify the binding complex of proteins and nucleic acids,To analyze transcription initiation and RNA processing,To separate protein and nucleic acid mixtures on a gel,B
926,What is the purpose of the NASA Exoplanet Archive?,To search for and characterize exoplanets,To study the formation of exoplanets,To catalog and analyze data from the Kepler mission,To develop tools for space exploration,To serve as a data portal for the CoRoT mission,A
927,What is Sergey Piletsky known for?,Developing sensors and assays for environmental and clinical analysis,Studying the recognition properties of molecularly imprinted polymers,Introducing computational design into the field of molecular imprinting,All of the above,None of the above,D
928,What is the main difference between nanoelectromechanical systems (NEMS) and microelectromechanical systems (MEMS)?,NEMS have higher mechanical resonance frequencies,NEMS have larger quantum mechanical effects,NEMS have lower mass,NEMS have higher surface-to-volume ratio,NEMS integrate transistor-like nanoelectronics with mechanical actuators,A
929,What are the potential benefits of building and controlling devices at smaller scales?,Greater efficiencies and reduced size,Decreased power consumption,Lower costs of production in electromechanical systems,All of the above,None of the above,D
930,Who fabricated the first MOSFET with a gate oxide thickness of 100 nm?,Mohamed M. Atalla,Dawon Kahng,Richard Feynman,Bell Labs,None of the above,A
931,Which spacecraft was the first to orbit Mars?,Mariner 4,Mariner 9,Viking 1,Viking 2,Mars Global Surveyor,B
932,What was the central assertion of Abbott Thayer in his book on Concealing-Coloration in the Animal Kingdom?,All animal coloration has the evolutionary purpose of camouflage,Animal coloration is solely for sexual selection,Animal coloration is primarily for attracting mates,Animal coloration is a result of random genetic mutations,Animal coloration is a form of self-expression,A
933,When did China become a member of the World Intellectual Property Organization (WIPO)?,1980,1992,2001,1984,1989,A
934,What is machine operator efficiency (MOE) in lean manufacturing?,The time spent producing product divided by the time the operator is on duty.,A measure of operator performance regardless of the type or speed of the machine.,A measure of the operator's ability to keep the machine running continuously.,"A calculation of loading, availability, performance, and quality.",The performance of an employee who operates industrial machinery.,B
935,Which organization provides the primary data for the list of minor planets?,International Astronomical Union,Working Group for Small Bodies Nomenclature,Minor Planet Center,JPL (Jet Propulsion Laboratory),Small-Body Orbital Elements,D
936,Who created the character Alec Holland?,Len Wein and Bernie Wrightson,Dick Durock and Ray Wise,Andy Bean and Nathan Ellery,The Conclave and Linda Holland,DC Comics and the Louisiana bayous,A
937,What is the purpose of the OpenDocument format?,To provide a proprietary document format,To restrict access to the document format,To develop a publicly accessible document format,To create a collection of sub-documents,To store part of a complete document,C
938,What is the purpose of design for manufacturability (DFM)?,To reduce manufacturing costs,To improve product performance,To enhance aesthetic appeal,To increase product lifespan,To simplify product assembly,A
939,What is the primary constituent of tantalcarbide?,Tantalum,Carbide,Carbon,Bronze,Granular,A
940,What legal case involved copyright infringement by Atari Games?,Atari Games Corp. v. Nintendo of America Inc.,Nintendo Entertainment System (NES),10NES lock-out system,Unauthorized game cartridges,U.S. Federal Circuit Court of Appeals,A
941,What is Gottfried Wilhelm (von) Leibniz known for?,Being a renowned scientist and mathematician,Being a famous diplomat and philosopher,Being a skilled musician and composer,Being a pioneer in computer science and linguistics,Being a prominent figure in library science and cataloguing,A
942,What is the purpose of a forensic engineering investigation?,To locate cause or causes of failure with a view to improve performance or life of a component,To assist a court in determining the facts of an accident,To investigate intellectual property claims,To retrace processes and procedures leading to accidents,All of the above,E
943,Who founded Gifford?,Dr. Edwin Gifford,Ramboll Group,E.W.H. Gifford & Partners,Edwin Gifford & Partners,RIBA Stirling Prize,C
944,In which year did Gifford win the Queen's Award for Enterprise?,1951,2002,2011,March 2011,Ramboll,B
945,Which project won the IStructE Supreme Award for engineering excellence?,Gateshead Millennium Bridge,Brading Roman Villa,Forthside Bridge,M25 motorway widening,Hungerford Bridge Footbridges,A
946,In which country is the Juan Pablo II Bridge located?,UK,Chile,Gateshead,Isle of Wight,Poole,B
947,Which project won the RIBA Stirling Prize?,Gateshead Millennium Bridge,Brading Roman Villa,Forthside Bridge,M25 motorway widening,Hungerford Bridge Footbridges,A
948,What is the purpose of an artificial lung?,To provide oxygenation of blood and removal of carbon dioxide,To simulate the function of alveoli,To be used as a bridge to lung transplant,To minimize patient trauma,To take over the functions of the heart and lungs,A
949,What is a graph algebra?,A way of giving a directed graph an algebraic structure,A method of solving algebraic equations using graphs,A type of algebra used in universal algebra and graph theory,An algebraic structure used to analyze tree automata,An algebraic concept used to study topologies and varieties,A
950,What is the main gas component of Earth's atmosphere?,Nitrogen,Oxygen,Argon,Carbon dioxide,Trace gases,A
951,What is the basic function of a loom?,To stretch the warp threads,To weave cloth and tapestry,To hold the weft threads under tension,To facilitate the interweaving of the weft threads,To enable the weaving of thread into cloth,D
952,What does the acronym SCARA stand for?,Selective Compliance Assembly Robot Arm,Selective Compliance Articulated Robot Arm,Selective Compliance Automated Robot Arm,Selective Controlled Assembly Robot Arm,Selective Controlled Articulated Robot Arm,B
953,What is a partial order?,An arrangement in mathematics where one element precedes another,"A binary relation that is reflexive, transitive, and antisymmetric",A set on which a partial order is defined,A one-to-one correspondence between strict and non-strict partial orders,"A reflexive, weak, or non-strict partial order",B
954,What is the focus of the mAbs journal?,Antibody research and development,Technology transfer and legal issues,Investment and strategic planning,Regulation of therapeutics,Clinical research and physicians,A
955,What was the significance of roof tiles in the Asuka to Nara period?,They were symbols of continental culture,They were used for farmland,They were created by the Buddhist priest Kūkai,They were discovered during the Taisho period,They were protected as a National Historic Site,A
956,What is the universality–diversity paradigm in biology?,The analysis of biological materials based on the universality and diversity of its fundamental structural elements and functional mechanisms,The study of different tissue types in biological materials,The use of inorganic or hybrid organic-inorganic building blocks,The analysis of proteins in biological materials,The study of phylogenetics in biological materials,A
957,What is the purpose of Project Lyra?,To explore the feasibility of a mission to interstellar objects,To study the movement of asteroids in space,To develop advanced propulsion techniques for spacecraft,To investigate the possibility of finding extraterrestrial life,To launch a spacecraft to Jupiter,A
958,What is genetic engineering?,The process of manipulating an organism's genes using technology,The process of copying the genetic material of interest using recombinant DNA methods,The process of artificially synthesizing DNA to create new genetic material,The process of transferring genes within and across species boundaries to produce improved or novel organisms,The process of randomly inserting new DNA into the host organism,D
959,Who was the first person to use the term genetics to describe the study of heredity?,Hugo de Vries,Carl Correns,William Bateson,Gregor Mendel,William Henry Bateson,C
960,What is the purpose of the Implementation Rules in the PRC?,To regulate the product certification process,To determine the scope of certification,To assign levels to companies based on their certification results,To update the product standards,To introduce new products for certification,A
961,What is the main difference between a professional video camera and a movie camera?,Professional video cameras are digital while movie cameras record on film,Professional video cameras are used for television while movie cameras are used for movies,Professional video cameras have higher image quality than movie cameras,Professional video cameras are more portable than movie cameras,Professional video cameras have more advanced color correction features,A
